Company Name,Year_t,from_label,to_label
A C G Pam Pharma Technologies Pvt. Ltd.,2022,Full_Distress,Acct_Distress
A C G Pharmapack Pvt. Ltd.,2018,Cash_Distress,Acct_Distress
A C G Pharmapack Pvt. Ltd.,2019,Acct_Distress,Healthy
A C G Pharmapack Pvt. Ltd.,2020,Healthy,Healthy
A C G Pharmapack Pvt. Ltd.,2021,Healthy,Healthy
A C M E Solar Rooftop Systems Pvt. Ltd.,2018,Healthy,Healthy
A C M E Solar Rooftop Systems Pvt. Ltd.,2019,Healthy,Healthy
A C M E Solar Rooftop Systems Pvt. Ltd.,2020,Healthy,Healthy
A C M E Solar Rooftop Systems Pvt. Ltd.,2021,Healthy,Healthy
A C M E Solar Rooftop Systems Pvt. Ltd.,2022,Healthy,Healthy
A C N Cable Pvt. Ltd.,2018,Healthy,Healthy
A C N Cable Pvt. Ltd.,2019,Healthy,Healthy
A C P Tollways Pvt. Ltd.,2020,Healthy,Healthy
A C P Tollways Pvt. Ltd.,2021,Healthy,Healthy
A C P Tollways Pvt. Ltd.,2022,Healthy,Healthy
A D F Foods Ltd.,2018,Healthy,Healthy
A D F Foods Ltd.,2019,Healthy,Healthy
A D F Foods Ltd.,2020,Healthy,Healthy
A D F Foods Ltd.,2021,Healthy,Healthy
A D F Foods Ltd.,2022,Healthy,Healthy
A D Hydro Power Ltd.,2018,Healthy,Healthy
A D Hydro Power Ltd.,2019,Healthy,Healthy
A D Hydro Power Ltd.,2020,Healthy,Healthy
A D Hydro Power Ltd.,2021,Healthy,Healthy
A D Hydro Power Ltd.,2022,Healthy,Healthy
A D M Agro Inds. India Pvt. Ltd.,2018,Acct_Distress,Full_Distress
A D M Agro Inds. India Pvt. Ltd.,2019,Full_Distress,Healthy
A D M Agro Inds. India Pvt. Ltd.,2022,Full_Distress,Acct_Distress
A D M Agro Inds. Kota & Akola Pvt. Ltd.,2018,Acct_Distress,Cash_Distress
A D M Agro Inds. Kota & Akola Pvt. Ltd.,2019,Cash_Distress,Healthy
A D M Agro Inds. Kota & Akola Pvt. Ltd.,2020,Healthy,Healthy
A D M Agro Inds. Kota & Akola Pvt. Ltd.,2021,Healthy,Full_Distress
A D M Agro Inds. Kota & Akola Pvt. Ltd.,2022,Full_Distress,Acct_Distress
A D M Joinflex India Pvt. Ltd.,2018,Healthy,Healthy
A D M Joinflex India Pvt. Ltd.,2019,Healthy,Healthy
A D M Joinflex India Pvt. Ltd.,2020,Healthy,Healthy
A D M Joinflex India Pvt. Ltd.,2021,Healthy,Healthy
